route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12260F3024340:2024-01-30T00:44:05Z,12260,0,39,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000022,OCESN12260F3024341:2024-01-30T00:44:05Z,12260,0,40,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000033,OCESN12261F2607551:2024-02-08T00:29:23Z,12261,1,41,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12261F2666264:2024-02-08T00:29:23Z,12261,1,42,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000035,OCESN12261F2666265:2023-12-21T00:50:45Z,12261,1,43,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12261F2843832:2024-01-09T00:38:43Z,12261,1,44,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12261F2845463:2024-01-09T00:38:43Z,12261,1,45,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000036,OCESN12261F2846026:2023-12-21T00:50:45Z,12261,1,46,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000037,OCESN12261F2914444:2023-12-21T00:50:45Z,12261,1,47,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000038,OCESN12263F2606729:2024-02-03T00:31:17Z,12263,1,48,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000039,OCESN12263F2665437:2024-02-08T00:29:23Z,12263,1,49,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000040,OCESN12263F2665438:2023-12-21T00:50:45Z,12263,1,50,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12263F2898450:2024-01-27T00:45:59Z,12263,1,51,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000041,OCESN12263F2941042:2024-02-03T00:31:17Z,12263,1,52,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000042,OCESN12264F2587853:2024-02-05T00:32:25Z,12264,0,53,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12264F2665777:2024-01-09T00:38:43Z,12264,0,54,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12265F2586021:2023-12-30T00:39:39Z,12265,1,55,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12265F2586056:2023-12-30T00:39:39Z,12265,1,56,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000039,OCESN12265F2586057:2024-02-08T00:29:23Z,12265,1,57,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12265F2606466:2024-01-27T00:45:59Z,12265,1,58,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000032,OCESN12265F2606478:2023-12-21T00:50:45Z,12265,1,59,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12265F2665423:2023-12-21T00:50:45Z,12265,1,60,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12265F2665424:2023-12-21T00:50:45Z,12265,1,61,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000032,OCESN12266F1645954:2024-02-06T00:30:41Z,12266,0,62,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12266F2607148:2024-01-18T00:32:08Z,12266,0,63,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12266F2667102:2023-12-21T00:50:45Z,12266,0,64,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000044,OCESN12267F1658385:2024-01-18T00:32:08Z,12267,1,65,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000021,OCESN12267F2665478:2024-01-18T00:32:08Z,12267,1,66,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000045,OCESN12267F2665669:2024-02-04T00:41:58Z,12267,1,67,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000046,OCESN12267F2665670:2024-02-08T00:29:23Z,12267,1,68,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12268F2837247:2023-12-21T00:50:45Z,12268,0,69,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12268F2917995:2023-12-21T00:50:45Z,12268,0,70,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000047,OCESN12270F1684569:2024-02-08T00:29:23Z,12270,0,71,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000048,OCESN12270F2547956:2024-01-16T00:33:56Z,12270,0,72,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000049,OCESN12270F2666290:2024-02-08T00:29:23Z,12270,0,73,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000050,OCESN12270F2744494:2024-01-16T00:33:56Z,12270,0,74,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12271F1719016:2024-01-09T00:38:43Z,12271,1,75,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000051,OCESN12271F2666441:2023-12-21T00:50:45Z,12271,1,76,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000052,OCESN12271F2666442:2024-02-07T00:29:39Z,12271,1,77,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12271F2666444:2024-02-04T00:41:58Z,12271,1,78,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12271F2666498:2024-01-18T00:32:08Z,12271,1,79,
